CustomerID,CustomerName,Email,Phone,City,Country,SignupDate
1,Samuel Perez,istone@baker.com,632.490.1980x812,Joelland,Ethiopia,2023-07-26
2,Stephanie Miller,lmcguire@yahoo.com,495-768-4647x160,Lake Isaiah,Anguilla,2023-05-27
3,Amber French,alexandersarah@kennedy.com,+1-738-014-9158,Port Michael,Burundi,2022-08-26
4,Mitchell Rodriguez,fosterjoy@baker.net,(645)126-5937,Michaelton,Wallis and Futuna,2023-06-14
5,Samantha Randolph,christine61@yahoo.com,(431)160-6045x4823,Charleshaven,Burundi,2023-02-14
6,Lauren Garcia,daniellarry@gmail.com,+1-369-525-9735,Port Christopher,Moldova,2024-01-24
7,Kerry Washington,john28@gmail.com,070-847-3532x33363,South Aaron,Solomon Islands,2024-06-02
8,Renee Delgado,sarah07@cummings-schultz.com,+1-338-206-9135,Perezside,Benin,2023-03-21
9,Mrs. Lisa Whitney,zacharysmith@lopez.com,052-445-7707x83004,Jamesberg,Tuvalu,2025-02-10
10,Mark Figueroa,tracy77@ferguson-washington.info,(252)801-5079,Evanberg,Brunei Darussalam,2024-12-22
11,Justin Perry,loweryjill@kim.com,559-775-5672x669,West Breannaview,Azerbaijan,2022-12-27
12,Paul Kelly,sandra48@carpenter.com,268-186-1043x4768,North Josephland,Rwanda,2024-05-02
13,Melissa Cherry,rowen@anderson.biz,543-132-3145x991,Kylehaven,Cook Islands,2025-03-18
14,Amanda Walker,brianrodriguez@brown.info,513.030.5511,East Kristinemouth,Switzerland,2023-01-06
15,Victoria Ferguson,amy01@hotmail.com,203.097.5784,West Abigail,Bhutan,2025-01-11
16,Gregory Gonzales,chenbruce@gmail.com,228-843-1610x69976,East Cathy,Isle of Man,2022-10-29
17,Loretta Guerra,danielle92@hotmail.com,001-828-374-1443x7769,Port Tracyberg,Taiwan,2024-06-02
18,Monica Martin,dwayne02@lewis-luna.com,001-664-457-9363x61380,Brianfurt,Tanzania,2024-06-27
19,Jeffrey Davies,webermegan@lewis.com,996.945.6289x63740,Port Leahland,New Caledonia,2024-12-31
20,Curtis Carter,jenningsamanda@smith-fitzpatrick.com,+1-559-810-4548x13392,Lake Trevorville,Kiribati,2024-09-16
21,Robert Thompson,robert51@wood.info,(098)006-2487,North Meganstad,Bouvet Island (Bouvetoya),2024-11-09
22,Jason Smith,jessicawatts@jones-hamilton.biz,+1-521-219-3567x79176,Lake Lindsay,Macedonia,2023-11-16
23,Carly Williams,jasonflores@randolph.info,+1-647-005-9756x3125,Port Eric,Pakistan,2025-03-06
24,Alexandra Ryan,lancemartin@avila.com,001-514-238-8029x7019,Port Elijahfurt,Moldova,2025-04-18
25,Derek Page,wtran@hotmail.com,039.703.5284,South Johnfort,Mayotte,2024-01-19
26,Juan Nunez,jallen@ayala-arnold.com,430.031.6047,Lake Jasmineland,Aruba,2025-03-02
27,Brandy Bell,james63@gmail.com,001-119-787-8994,Meganville,Guernsey,2024-12-14
28,Juan Dixon,jessica26@collins-howell.biz,(244)847-3055,Port Laura,Sweden,2024-06-15
29,Edgar Holden,todd07@hotmail.com,(490)869-0323x92815,Lake Edwardview,Korea,2023-07-12
30,Robert Elliott,jlong@gmail.com,(619)995-9373x630,Hernandeztown,Nauru,2022-08-01
31,Jamie Lee,sarah07@yahoo.com,2997856333,New Jasonfort,Finland,2025-06-09
32,Cindy Clark,osmith@smith-hayden.com,452.527.2172,Lake Carol,Singapore,2023-07-18
33,Sally Stewart,sean98@sanchez.org,(978)364-2535,Hudsonville,Syrian Arab Republic,2024-08-28
34,Katelyn Pearson,wujonathan@yahoo.com,+1-117-021-9732x985,Lake Christopherborough,Singapore,2024-04-23
35,Elaine Rice,billyortega@jones.com,+1-540-420-3501,West Rebekah,Taiwan,2022-08-16
36,Taylor Hernandez,laurie14@gmail.com,(009)450-2126x615,Haysside,Tokelau,2025-03-21
37,Jennifer Lutz,nielsenjennifer@hotmail.com,598.268.3767x179,Port Alicia,Spain,2024-03-30
38,Charles Boyd,matthew84@hotmail.com,001-050-613-6742x697,Luisview,Libyan Arab Jamahiriya,2023-08-17
39,William Jones,gtaylor@wilkinson.com,+1-445-884-5708,Tristanstad,Qatar,2023-11-08
